date,east,london,midlands,north_east,north_west,south_east,south_west
01/01/2020,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0
04/01/2020,0,0,0,0,0,0,0
05/01/2020,0,0,0,0,0,0,0
06/01/2020,0,0,0,0,0,0,0
07/01/2020,0,0,0,0,0,0,0
08/01/2020,0,0,0,0,0,0,0
09/01/2020,0,0,0,0,0,0,0
10/01/2020,0,0,0,0,0,0,0
11/01/2020,0,0,0,0,0,0,0
12/01/2020,0,0,0,0,0,0,0
13/01/2020,0,0,0,0,0,0,0
14/01/2020,0,0,0,0,0,0,0
15/01/2020,0,0,0,0,0,0,0
16/01/2020,0,0,0,0,0,0,0
17/01/2020,0,0,0,0,0,0,0
18/01/2020,0,0,0,0,0,0,0
19/01/2020,0,0,0,0,0,0,0
20/01/2020,0,0,0,0,0,0,0
21/01/2020,0,0,0,0,0,0,0
22/01/2020,0,0,0,0,0,0,0
23/01/2020,0,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0,0
29/01/2020,0,0,0,0,0,0,0
30/01/2020,0,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0
04/02/2020,0,0,0,0,0,0,0
05/02/2020,0,0,0,0,0,0,0
06/02/2020,0,0,0,0,0,0,0
07/02/2020,0,0,0,0,0,0,0
08/02/2020,0,0,0,0,0,0,0
09/02/2020,0,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0,0
22/02/2020,0,0,0,0,0,0,0
23/02/2020,0,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0,0
27/02/2020,0,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0,0
20/03/2020,12390,184275,52320,17220,31200,39600,11970
21/03/2020,17040,237375,62550,29760,36450,73680,19950
22/03/2020,19110,257880,79590,35550,39900,91800,28140
23/03/2020,29475,318150,98100,45600,56640,107760,33600
24/03/2020,31500,396240,130725,54720,60000,98490,39120
25/03/2020,43200,444150,144480,74160,69720,127575,42000
26/03/2020,60900,485550,231360,89460,78120,143760,53100
27/03/2020,80640,654480,252960,127680,115080,178560,72960
28/03/2020,101520,720480,251325,152325,147150,180450,76950
29/03/2020,99750,700140,314880,192960,182025,226800,84210
30/03/2020,138825,733320,377790,202230,202440,289920,102375
31/03/2020,163590,939600,460320,227850,249750,352560,103110
01/04/2020,170520,842520,513120,300960,313200,328320,118440
02/04/2020,179100,902025,389025,316560,354240,363150,141600
03/04/2020,143550,690480,458280,265650,245700,277380,115560
04/04/2020,139650,726990,498240,362340,338085,256800,115995
05/04/2020,174150,685650,434250,365970,326700,305250,133200
06/04/2020,188760,698400,456300,367380,433620,306570,144360
07/04/2020,238140,844020,462900,348645,411675,310950,118650
08/04/2020,236880,866340,552600,347850,365400,339570,115800
09/04/2020,190800,718650,539820,385050,467280,318450,143460
10/04/2020,201750,781440,511665,414720,408150,365580,121350
11/04/2020,237960,797400,505230,399630,509400,361260,121200
12/04/2020,222600,797940,510180,366000,510660,338745,149940
13/04/2020,190200,764640,490875,370500,433500,338085,135630
14/04/2020,249660,725580,448350,437580,511560,303000,126000
15/04/2020,255240,699480,454740,360000,477900,295500,149760
16/04/2020,245520,570000,406200,352950,454245,315315,131340
17/04/2020,201000,542550,374400,330900,394185,340740,130680
18/04/2020,198450,516750,451800,368940,437580,347760,115500
19/04/2020,224730,507600,378450,365805,477180,347940,115650
20/04/2020,204450,608040,416460,381780,473580,290400,132660
21/04/2020,217635,539550,412005,333900,382050,284550,120615
22/04/2020,193950,564120,434880,322200,443160,278400,117645
23/04/2020,189150,483120,353100,377100,440100,262050,121860
24/04/2020,221040,492660,370425,308100,420840,277530,116460
25/04/2020,180450,483840,300000,363240,342150,239550,112500
26/04/2020,202455,431475,379980,353340,375705,228600,91650
27/04/2020,198825,470520,347985,331155,415080,258720,88350
28/04/2020,179250,414720,307050,295950,357720,231150,97350
29/04/2020,187770,385275,348300,315315,332700,245685,98460
30/04/2020,192060,335250,316965,307230,326700,241725,94500
01/05/2020,154950,387360,337140,278100,322500,253260,82665
02/05/2020,153150,365940,330300,330300,394380,235800,74100
03/05/2020,156750,330165,324360,272100,309750,196050,86625
04/05/2020,144150,319275,266550,298485,345510,220275,94860
05/05/2020,147150,311850,286275,261900,337095,213015,93240
06/05/2020,140250,324540,256800,300780,322905,184650,70950
07/05/2020,147510,260400,263670,287460,331200,175650,73425
08/05/2020,150480,295020,256740,229650,327060,202140,66330
09/05/2020,143550,247950,257895,247005,271950,175395,75060
10/05/2020,162540,260535,251295,256320,258450,189180,68310
11/05/2020,134100,284400,280620,226200,296835,175230,75060
