date,east,london,midlands,north_east,north_west,south_east,south_west
01/01/2020,0,0,0,0,0,0,0
02/01/2020,0,0,0,0,0,0,0
03/01/2020,0,0,0,0,0,0,0
04/01/2020,0,0,0,0,0,0,0
05/01/2020,0,0,0,0,0,0,0
06/01/2020,0,0,0,0,0,0,0
07/01/2020,0,0,0,0,0,0,0
08/01/2020,0,0,0,0,0,0,0
09/01/2020,0,0,0,0,0,0,0
10/01/2020,0,0,0,0,0,0,0
11/01/2020,0,0,0,0,0,0,0
12/01/2020,0,0,0,0,0,0,0
13/01/2020,0,0,0,0,0,0,0
14/01/2020,0,0,0,0,0,0,0
15/01/2020,0,0,0,0,0,0,0
16/01/2020,0,0,0,0,0,0,0
17/01/2020,0,0,0,0,0,0,0
18/01/2020,0,0,0,0,0,0,0
19/01/2020,0,0,0,0,0,0,0
20/01/2020,0,0,0,0,0,0,0
21/01/2020,0,0,0,0,0,0,0
22/01/2020,0,0,0,0,0,0,0
23/01/2020,0,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0,0
29/01/2020,0,0,0,0,0,0,0
30/01/2020,0,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0,0
04/02/2020,0,0,0,0,0,0,0
05/02/2020,0,0,0,0,0,0,0
06/02/2020,0,0,0,0,0,0,0
07/02/2020,0,0,0,0,0,0,0
08/02/2020,0,0,0,0,0,0,0
09/02/2020,0,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0,0
22/02/2020,0,0,0,0,0,0,0
23/02/2020,0,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0,0
27/02/2020,0,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0,0
11/03/2020,0,0,0,0,0,0,0
12/03/2020,0,0,0,0,0,0,0
13/03/2020,0,0,0,0,0,0,0
14/03/2020,0,0,0,0,0,0,0
15/03/2020,0,0,0,0,0,0,0
16/03/2020,0,0,0,0,0,0,0
17/03/2020,0,0,0,0,0,0,0
18/03/2020,0,0,0,0,0,0,0
19/03/2020,0,0,0,0,0,0,0
20/03/2020,0,0,0,0,0,0,0
21/03/2020,0,0,0,0,0,0,0
22/03/2020,1703,21210,4360,2090,2360,3592,1400
23/03/2020,1950,18161,4648,1824,2000,6566,1956
24/03/2020,2304,27636,5504,3708,2988,6237,1800
25/03/2020,2610,28054,11568,5538,3348,8386,2360
26/03/2020,2688,21816,14756,4788,7124,8928,4256
27/03/2020,3384,30020,11170,6770,7194,8020,3420
28/03/2020,6175,40008,14432,7236,7281,14112,3208
29/03/2020,6787,34920,21588,13482,11568,15704,5915
30/03/2020,10127,31320,15344,8680,9990,19097,4910
31/03/2020,7308,44132,25656,10032,19488,10944,4512
01/04/2020,5572,40090,15561,10552,8856,9684,4130
02/04/2020,8700,30688,22914,10626,11466,13869,5136
03/04/2020,8379,35248,22144,12078,12294,15408,4921
04/04/2020,9288,36568,28950,15526,13068,18500,6660
05/04/2020,6864,41904,18252,20410,24090,11148,6416
06/04/2020,11907,46890,27774,21130,24950,20730,4746
07/04/2020,11844,43317,30700,16233,24360,18522,6176
08/04/2020,10176,43119,26991,15402,23364,11580,4782
09/04/2020,12105,37888,18606,20736,27210,16248,5663
10/04/2020,9254,31010,30620,24220,16980,14049,8080
11/04/2020,14840,44330,18552,14640,25533,20530,8330
12/04/2020,10144,33984,17850,19760,23120,16392,7398
13/04/2020,9709,40310,17934,17017,19894,20200,8400
14/04/2020,14180,27202,16536,16800,26550,19700,4992
15/04/2020,10912,22800,21664,16471,16518,15288,6368
16/04/2020,13400,21702,24960,15442,23890,11358,7128
17/04/2020,13230,27560,15060,15652,21216,15456,6160
18/04/2020,9534,30456,15138,22170,26510,13531,7710
19/04/2020,10904,27024,25240,21210,26310,13552,5159
20/04/2020,9233,26160,17479,20034,25470,17073,5848
21/04/2020,7758,21938,16912,21480,19696,11136,5704
22/04/2020,11349,26352,23540,14665,22005,10482,5416
23/04/2020,12280,19159,15715,14378,14028,15138,5823
24/04/2020,9624,16128,12000,18162,18248,15970,6250
25/04/2020,9816,15690,16888,15704,22770,15240,4888
26/04/2020,7230,20912,14763,14049,16142,14112,4123
27/04/2020,10755,18432,14329,13811,15176,13869,3540
28/04/2020,7966,23350,19350,17199,17744,8934,3829
29/04/2020,7469,15645,17289,16758,21780,13185,3150
30/04/2020,7231,17216,14984,14832,21500,9849,3006
01/05/2020,9189,16264,14680,12845,13146,7860,3458
02/05/2020,10450,18009,14416,12698,20650,13070,3150
03/05/2020,6727,19350,15993,16281,16752,13350,3162
04/05/2020,7848,11340,12145,10476,20430,7746,4662
05/05/2020,7480,14424,13696,13368,13699,12310,3311
06/05/2020,5364,15624,14382,11179,12880,11710,4450
07/05/2020,5016,11473,10892,12248,16353,11230,2814
08/05/2020,6090,9918,10941,8982,10878,6378,4170
09/05/2020,7224,14211,15230,12816,15507,6306,4140
10/05/2020,5364,15800,10913,10556,17990,10620,3753
11/05/2020,5238,9282,15200,10255,13864,7245,2322
