Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,36715
 03/24  01:00:00,37105
 03/25  01:00:00,50177
 03/26  01:00:00,61864
 03/27  01:00:00,64356
 03/28  01:00:00,69978
 03/29  01:00:00,92452
 03/30  01:00:00,109964
 03/31  01:00:00,99468
 04/01  01:00:00,122072
 04/02  01:00:00,94445
 04/03  01:00:00,103399
 04/04  01:00:00,110472
 04/05  01:00:00,128560
 04/06  01:00:00,129084
 04/07  01:00:00,158127
 04/08  01:00:00,151152
 04/09  01:00:00,135414
 04/10  01:00:00,138456
 04/11  01:00:00,134213
 04/12  01:00:00,146755
 04/13  01:00:00,128648
 04/14  01:00:00,133464
 04/15  01:00:00,125960
 04/16  01:00:00,110021
 04/17  01:00:00,117880
 04/18  01:00:00,114334
 04/19  01:00:00,125049
 04/20  01:00:00,129399
 04/21  01:00:00,121297
 04/22  01:00:00,104624
 04/23  01:00:00,113809
 04/24  01:00:00,96521
 04/25  01:00:00,96382
 04/26  01:00:00,100996
 04/27  01:00:00,91331
 04/28  01:00:00,89912
 04/29  01:00:00,98372
 04/30  01:00:00,95276
 05/01  01:00:00,88618
 05/02  01:00:00,77442
 05/03  01:00:00,92443
 05/04  01:00:00,91615
 05/05  01:00:00,74647
 05/06  01:00:00,78288
 05/07  01:00:00,75589
 05/08  01:00:00,70026
 05/09  01:00:00,57357
 05/10  01:00:00,75434
 05/11  01:00:00,74996
 05/12  01:00:00,63406
 05/13  01:00:00,70970
 05/14  01:00:00,66995
 05/15  01:00:00,65069
 05/16  01:00:00,60272
 05/17  01:00:00,63700
 05/18  01:00:00,55195
 05/19  01:00:00,60535
 05/20  01:00:00,58288
 05/21  01:00:00,56163
 05/22  01:00:00,54475
 05/23  01:00:00,60707
 05/24  01:00:00,55312
 05/25  01:00:00,58105
 05/26  01:00:00,53196
 05/27  01:00:00,50192
 05/28  01:00:00,49108
 05/29  01:00:00,40329
 05/30  01:00:00,42500
 05/31  01:00:00,40798
 06/01  01:00:00,46218
 06/02  01:00:00,42150
 06/03  01:00:00,41553
 06/04  01:00:00,39266
 06/05  01:00:00,39343
 06/06  01:00:00,34144
 06/07  01:00:00,35011
 06/08  01:00:00,33913
 06/09  01:00:00,36825
 06/10  01:00:00,29107
 06/11  01:00:00,30555
 06/12  01:00:00,28669
 06/13  01:00:00,28649
 06/14  01:00:00,27191
 06/15  01:00:00,30440
 06/16  01:00:00,29919
 06/17  01:00:00,27169
 06/18  01:00:00,27326
 06/19  01:00:00,29394
 06/20  01:00:00,25015
 06/21  01:00:00,28116
 06/22  01:00:00,25721
 06/23  01:00:00,24333
 06/24  01:00:00,26927
 06/25  01:00:00,25881
 06/26  01:00:00,31965
 06/27  01:00:00,29310
 06/28  01:00:00,31918
 06/29  01:00:00,32971
 06/30  01:00:00,35310
 07/01  01:00:00,30049
 07/02  01:00:00,37832
 07/03  01:00:00,39410
 07/04  01:00:00,41586
 07/05  01:00:00,36769
 07/06  01:00:00,39417
 07/07  01:00:00,45384
 07/08  01:00:00,43469
 07/09  01:00:00,55386
 07/10  01:00:00,49045
 07/11  01:00:00,51512
 07/12  01:00:00,49381
 07/13  01:00:00,54779
 07/14  01:00:00,65310
 07/15  01:00:00,66113
 07/16  01:00:00,56316
 07/17  01:00:00,51542
 07/18  01:00:00,61233
 07/19  01:00:00,66707
 07/20  01:00:00,64085
 07/21  01:00:00,65940
 07/22  01:00:00,70518
 07/23  01:00:00,78296
 07/24  01:00:00,75457
 07/25  01:00:00,65012
 07/26  01:00:00,71913
 07/27  01:00:00,74453
 07/28  01:00:00,83540
 07/29  01:00:00,86398
 07/30  01:00:00,79786
 07/31  01:00:00,83433
 08/01  01:00:00,68640
 08/02  01:00:00,89875
 08/03  01:00:00,94078
 08/04  01:00:00,79121
 08/05  01:00:00,78372
 08/06  01:00:00,96121
 08/07  01:00:00,89004
 08/08  01:00:00,83787
