Date/Time,Demand,,,,
 03/01  01:00:00,0,1,302,9001,9001
 03/02  01:00:00,0,2,301,6570,6570
 03/03  01:00:00,0,3,300,7294,7294
 03/04  01:00:00,0,4,299,6358,6358
 03/05  01:00:00,0,5,298,8101,8101
 03/06  01:00:00,0,6,297,6455,6455
 03/07  01:00:00,0,7,296,5841,5841
 03/08  01:00:00,0,8,295,7403,7403
 03/09  01:00:00,0,9,294,7904,7904
 03/10  01:00:00,0,10,293,7378,7378
 03/11  01:00:00,0,11,292,7333,7333
 03/12  01:00:00,0,12,291,7500,7500
 03/13  01:00:00,0,13,290,8349,8349
 03/14  01:00:00,0,14,289,7470,7470
 03/15  01:00:00,0,15,288,9968,9968
 03/16  01:00:00,0,16,287,10178,10178
 03/17  01:00:00,0,17,286,12154,12154
 03/18  01:00:00,0,18,285,11546,11546
 03/19  01:00:00,0,19,284,10877,10877
 03/20  01:00:00,0,20,283,12367,12367
 03/21  01:00:00,0,21,282,11247,11247
 03/22  01:00:00,0,22,281,11090,11090
 03/23  01:00:00,36715,23,280,11374,11374
 03/24  01:00:00,37105,24,279,10245,10245
 03/25  01:00:00,50177,25,278,10995,10995
 03/26  01:00:00,61864,26,277,9821,9821
 03/27  01:00:00,64356,27,276,11957,11957
 03/28  01:00:00,69978,28,275,9579,9579
 03/29  01:00:00,92452,29,274,9529,9529
 03/30  01:00:00,109964,30,273,12427,12427
 03/31  01:00:00,99468,31,272,10535,10535
 04/01  01:00:00,122072,32,271,13465,13465
 04/02  01:00:00,94445,33,270,10391,10391
 04/03  01:00:00,103399,34,269,12312,12312
 04/04  01:00:00,110472,35,268,10514,10514
 04/05  01:00:00,128560,36,267,10821,10821
 04/06  01:00:00,129084,37,266,13386,13386
 04/07  01:00:00,158127,38,265,12244,12244
 04/08  01:00:00,151152,39,264,9505,9505
 04/09  01:00:00,135414,40,263,11853,11853
 04/10  01:00:00,138456,41,262,13037,13037
 04/11  01:00:00,134213,42,261,14354,14354
 04/12  01:00:00,146755,43,260,13128,13128
 04/13  01:00:00,128648,44,259,14752,14752
 04/14  01:00:00,133464,45,258,16894,16894
 04/15  01:00:00,125960,46,257,17263,17263
 04/16  01:00:00,110021,47,256,17434,17434
 04/17  01:00:00,117880,48,255,17499,17499
 04/18  01:00:00,114334,49,254,16816,16816
 04/19  01:00:00,125049,50,253,17920,17920
 04/20  01:00:00,129399,51,252,18703,18703
 04/21  01:00:00,121297,52,251,18129,18129
 04/22  01:00:00,104624,53,250,20245,20245
 04/23  01:00:00,113809,54,249,19618,19618
 04/24  01:00:00,96521,55,248,21721,21721
 04/25  01:00:00,96382,56,247,17077,17077
 04/26  01:00:00,100996,57,246,18842,18842
 04/27  01:00:00,91331,58,245,22120,22120
 04/28  01:00:00,89912,59,244,20389,20389
 04/29  01:00:00,98372,60,243,19111,19111
 04/30  01:00:00,95276,61,242,23378,23378
 05/01  01:00:00,88618,62,241,20537,20537
 05/02  01:00:00,77442,63,240,22176,22176
 05/03  01:00:00,92443,64,239,20551,20551
 05/04  01:00:00,91615,65,238,25247,25247
 05/05  01:00:00,74647,66,237,24697,24697
 05/06  01:00:00,78288,67,236,21366,21366
