Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,1703
 03/24  01:00:00,1950
 03/25  01:00:00,2304
 03/26  01:00:00,2610
 03/27  01:00:00,2688
 03/28  01:00:00,3384
 03/29  01:00:00,6175
 03/30  01:00:00,6787
 03/31  01:00:00,10127
 04/01  01:00:00,7308
 04/02  01:00:00,5572
 04/03  01:00:00,8700
 04/04  01:00:00,8379
 04/05  01:00:00,9288
 04/06  01:00:00,6864
 04/07  01:00:00,11907
 04/08  01:00:00,11844
 04/09  01:00:00,10176
 04/10  01:00:00,12105
 04/11  01:00:00,9254
 04/12  01:00:00,14840
 04/13  01:00:00,10144
 04/14  01:00:00,9709
 04/15  01:00:00,14180
 04/16  01:00:00,10912
 04/17  01:00:00,13400
 04/18  01:00:00,13230
 04/19  01:00:00,9534
 04/20  01:00:00,10904
 04/21  01:00:00,9233
 04/22  01:00:00,7758
 04/23  01:00:00,11349
 04/24  01:00:00,12280
 04/25  01:00:00,9624
 04/26  01:00:00,9816
 04/27  01:00:00,7230
 04/28  01:00:00,10755
 04/29  01:00:00,7966
 04/30  01:00:00,7469
 05/01  01:00:00,7231
 05/02  01:00:00,9189
 05/03  01:00:00,10450
 05/04  01:00:00,6727
 05/05  01:00:00,7848
 05/06  01:00:00,7480
 05/07  01:00:00,5364
 05/08  01:00:00,5016
 05/09  01:00:00,6090
 05/10  01:00:00,7224
 05/11  01:00:00,5364
 05/12  01:00:00,5238
 05/13  01:00:00,6808
 05/14  01:00:00,5761
 05/15  01:00:00,7299
 05/16  01:00:00,6216
 05/17  01:00:00,7173
 05/18  01:00:00,6264
 05/19  01:00:00,6296
 05/20  01:00:00,5348
 05/21  01:00:00,6660
 05/22  01:00:00,5744
 05/23  01:00:00,7070
 05/24  01:00:00,6830
 05/25  01:00:00,6830
 05/26  01:00:00,5769
 05/27  01:00:00,3792
 05/28  01:00:00,3594
 05/29  01:00:00,3012
 05/30  01:00:00,3717
 05/31  01:00:00,5150
 06/01  01:00:00,5260
 06/02  01:00:00,3374
 06/03  01:00:00,3704
 06/04  01:00:00,3825
 06/05  01:00:00,2856
 06/06  01:00:00,3073
 06/07  01:00:00,3501
 06/08  01:00:00,2364
 06/09  01:00:00,2840
 06/10  01:00:00,3042
 06/11  01:00:00,2616
 06/12  01:00:00,2862
 06/13  01:00:00,2198
 06/14  01:00:00,1824
 06/15  01:00:00,2004
 06/16  01:00:00,2619
 06/17  01:00:00,2899
 06/18  01:00:00,2238
 06/19  01:00:00,1896
 06/20  01:00:00,2213
 06/21  01:00:00,2464
 06/22  01:00:00,2393
 06/23  01:00:00,1689
 06/24  01:00:00,2182
 06/25  01:00:00,2298
 06/26  01:00:00,2656
 06/27  01:00:00,1938
 06/28  01:00:00,3347
 06/29  01:00:00,3464
 06/30  01:00:00,2490
 07/01  01:00:00,2920
 07/02  01:00:00,3495
 07/03  01:00:00,3368
 07/04  01:00:00,2596
 07/05  01:00:00,3110
 07/06  01:00:00,3192
 07/07  01:00:00,4676
 07/08  01:00:00,3965
 07/09  01:00:00,5282
 07/10  01:00:00,5562
 07/11  01:00:00,4562
 07/12  01:00:00,4674
 07/13  01:00:00,4285
 07/14  01:00:00,5656
 07/15  01:00:00,4514
 07/16  01:00:00,4710
 07/17  01:00:00,4093
 07/18  01:00:00,4840
 07/19  01:00:00,4289
 07/20  01:00:00,4457
 07/21  01:00:00,7567
 07/22  01:00:00,4624
 07/23  01:00:00,7987
 07/24  01:00:00,7293
 07/25  01:00:00,7398
 07/26  01:00:00,8593
 07/27  01:00:00,5198
 07/28  01:00:00,6987
 07/29  01:00:00,7944
 07/30  01:00:00,5310
 07/31  01:00:00,6211
 08/01  01:00:00,6293
 08/02  01:00:00,9106
 08/03  01:00:00,7210
 08/04  01:00:00,9083
 08/05  01:00:00,7322
 08/06  01:00:00,5520
 08/07  01:00:00,9246
 08/08  01:00:00,9339
