Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,21210
 03/24  01:00:00,18161
 03/25  01:00:00,27636
 03/26  01:00:00,28054
 03/27  01:00:00,21816
 03/28  01:00:00,30020
 03/29  01:00:00,40008
 03/30  01:00:00,34920
 03/31  01:00:00,31320
 04/01  01:00:00,44132
 04/02  01:00:00,40090
 04/03  01:00:00,30688
 04/04  01:00:00,35248
 04/05  01:00:00,36568
 04/06  01:00:00,41904
 04/07  01:00:00,46890
 04/08  01:00:00,43317
 04/09  01:00:00,43119
 04/10  01:00:00,37888
 04/11  01:00:00,31010
 04/12  01:00:00,44330
 04/13  01:00:00,33984
 04/14  01:00:00,40310
 04/15  01:00:00,27202
 04/16  01:00:00,22800
 04/17  01:00:00,21702
 04/18  01:00:00,27560
 04/19  01:00:00,30456
 04/20  01:00:00,27024
 04/21  01:00:00,26160
 04/22  01:00:00,21938
 04/23  01:00:00,26352
 04/24  01:00:00,19159
 04/25  01:00:00,16128
 04/26  01:00:00,15690
 04/27  01:00:00,20912
 04/28  01:00:00,18432
 04/29  01:00:00,23350
 04/30  01:00:00,15645
 05/01  01:00:00,17216
 05/02  01:00:00,16264
 05/03  01:00:00,18009
 05/04  01:00:00,19350
 05/05  01:00:00,11340
 05/06  01:00:00,14424
 05/07  01:00:00,15624
 05/08  01:00:00,11473
 05/09  01:00:00,9918
 05/10  01:00:00,14211
 05/11  01:00:00,15800
 05/12  01:00:00,9282
 05/13  01:00:00,10430
 05/14  01:00:00,11232
 05/15  01:00:00,13660
 05/16  01:00:00,7890
 05/17  01:00:00,7692
 05/18  01:00:00,7548
 05/19  01:00:00,8274
 05/20  01:00:00,9450
 05/21  01:00:00,9162
 05/22  01:00:00,7329
 05/23  01:00:00,9610
 05/24  01:00:00,9740
 05/25  01:00:00,7896
 05/26  01:00:00,8613
 05/27  01:00:00,7304
 05/28  01:00:00,6027
 05/29  01:00:00,5034
 05/30  01:00:00,5460
 05/31  01:00:00,5984
 06/01  01:00:00,5159
 06/02  01:00:00,4970
 06/03  01:00:00,4872
 06/04  01:00:00,4683
 06/05  01:00:00,6620
 06/06  01:00:00,4728
 06/07  01:00:00,4102
 06/08  01:00:00,5850
 06/09  01:00:00,4664
 06/10  01:00:00,3336
 06/11  01:00:00,4581
 06/12  01:00:00,3290
 06/13  01:00:00,4430
 06/14  01:00:00,3933
 06/15  01:00:00,7004
 06/16  01:00:00,7722
 06/17  01:00:00,5065
 06/18  01:00:00,6703
 06/19  01:00:00,4969
 06/20  01:00:00,6630
 06/21  01:00:00,4843
 06/22  01:00:00,4705
 06/23  01:00:00,6642
 06/24  01:00:00,5005
 06/25  01:00:00,6775
 06/26  01:00:00,6961
 06/27  01:00:00,7621
 06/28  01:00:00,8773
 06/29  01:00:00,6355
 06/30  01:00:00,8391
 07/01  01:00:00,5741
 07/02  01:00:00,10179
 07/03  01:00:00,11035
 07/04  01:00:00,11340
 07/05  01:00:00,8152
 07/06  01:00:00,7171
 07/07  01:00:00,9806
 07/08  01:00:00,9093
 07/09  01:00:00,13846
 07/10  01:00:00,14580
 07/11  01:00:00,10462
 07/12  01:00:00,10719
 07/13  01:00:00,12837
 07/14  01:00:00,16474
 07/15  01:00:00,16902
 07/16  01:00:00,10581
 07/17  01:00:00,10728
 07/18  01:00:00,10875
 07/19  01:00:00,14988
 07/20  01:00:00,15575
 07/21  01:00:00,15869
 07/22  01:00:00,16162
 07/23  01:00:00,20936
 07/24  01:00:00,21241
 07/25  01:00:00,15083
 07/26  01:00:00,15767
 07/27  01:00:00,20437
 07/28  01:00:00,16024
 07/29  01:00:00,18509
 07/30  01:00:00,13918
 07/31  01:00:00,23258
 08/01  01:00:00,14138
 08/02  01:00:00,21482
 08/03  01:00:00,23625
 08/04  01:00:00,14285
 08/05  01:00:00,16794
 08/06  01:00:00,24114
 08/07  01:00:00,24236
 08/08  01:00:00,19584
