Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,4360
 03/24  01:00:00,4648
 03/25  01:00:00,5504
 03/26  01:00:00,11568
 03/27  01:00:00,14756
 03/28  01:00:00,11170
 03/29  01:00:00,14432
 03/30  01:00:00,21588
 03/31  01:00:00,15344
 04/01  01:00:00,25656
 04/02  01:00:00,15561
 04/03  01:00:00,22914
 04/04  01:00:00,22144
 04/05  01:00:00,28950
 04/06  01:00:00,18252
 04/07  01:00:00,27774
 04/08  01:00:00,30700
 04/09  01:00:00,26991
 04/10  01:00:00,18606
 04/11  01:00:00,30620
 04/12  01:00:00,18552
 04/13  01:00:00,17850
 04/14  01:00:00,17934
 04/15  01:00:00,16536
 04/16  01:00:00,21664
 04/17  01:00:00,24960
 04/18  01:00:00,15060
 04/19  01:00:00,15138
 04/20  01:00:00,25240
 04/21  01:00:00,17479
 04/22  01:00:00,16912
 04/23  01:00:00,23540
 04/24  01:00:00,15715
 04/25  01:00:00,12000
 04/26  01:00:00,16888
 04/27  01:00:00,14763
 04/28  01:00:00,14329
 04/29  01:00:00,19350
 04/30  01:00:00,17289
 05/01  01:00:00,14984
 05/02  01:00:00,14680
 05/03  01:00:00,14416
 05/04  01:00:00,15993
 05/05  01:00:00,12145
 05/06  01:00:00,13696
 05/07  01:00:00,14382
 05/08  01:00:00,10892
 05/09  01:00:00,10941
 05/10  01:00:00,15230
 05/11  01:00:00,10913
 05/12  01:00:00,15200
 05/13  01:00:00,12016
 05/14  01:00:00,14490
 05/15  01:00:00,11256
 05/16  01:00:00,12465
 05/17  01:00:00,10073
 05/18  01:00:00,11728
 05/19  01:00:00,10080
 05/20  01:00:00,12735
 05/21  01:00:00,12681
 05/22  01:00:00,11048
 05/23  01:00:00,13030
 05/24  01:00:00,7944
 05/25  01:00:00,13720
 05/26  01:00:00,13070
 05/27  01:00:00,12660
 05/28  01:00:00,12280
 05/29  01:00:00,7056
 05/30  01:00:00,8960
 05/31  01:00:00,6678
 06/01  01:00:00,10332
 06/02  01:00:00,8832
 06/03  01:00:00,10540
 06/04  01:00:00,9324
 06/05  01:00:00,5922
 06/06  01:00:00,7640
 06/07  01:00:00,8388
 06/08  01:00:00,6552
 06/09  01:00:00,8325
 06/10  01:00:00,5406
 06/11  01:00:00,7650
 06/12  01:00:00,6048
 06/13  01:00:00,5064
 06/14  01:00:00,6880
 06/15  01:00:00,5537
 06/16  01:00:00,4070
 06/17  01:00:00,4671
 06/18  01:00:00,4637
 06/19  01:00:00,6546
 06/20  01:00:00,5241
 06/21  01:00:00,5743
 06/22  01:00:00,4959
 06/23  01:00:00,3501
 06/24  01:00:00,5652
 06/25  01:00:00,4761
 06/26  01:00:00,6114
 06/27  01:00:00,6024
 06/28  01:00:00,4855
 06/29  01:00:00,6459
 06/30  01:00:00,5896
 07/01  01:00:00,4538
 07/02  01:00:00,5633
 07/03  01:00:00,6978
 07/04  01:00:00,6275
 07/05  01:00:00,8286
 07/06  01:00:00,5669
 07/07  01:00:00,8720
 07/08  01:00:00,7188
 07/09  01:00:00,10946
 07/10  01:00:00,8068
 07/11  01:00:00,10634
 07/12  01:00:00,8474
 07/13  01:00:00,8879
 07/14  01:00:00,13023
 07/15  01:00:00,10689
 07/16  01:00:00,11153
 07/17  01:00:00,8481
 07/18  01:00:00,11462
 07/19  01:00:00,8886
 07/20  01:00:00,12312
 07/21  01:00:00,9408
 07/22  01:00:00,12776
 07/23  01:00:00,16550
 07/24  01:00:00,11754
 07/25  01:00:00,10220
 07/26  01:00:00,14245
 07/27  01:00:00,10771
 07/28  01:00:00,18096
 07/29  01:00:00,18289
 07/30  01:00:00,18338
 07/31  01:00:00,12870
 08/01  01:00:00,13039
 08/02  01:00:00,15095
 08/03  01:00:00,14941
 08/04  01:00:00,11292
 08/05  01:00:00,15172
 08/06  01:00:00,17156
 08/07  01:00:00,11495
 08/08  01:00:00,11611
