Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,2090
 03/24  01:00:00,1824
 03/25  01:00:00,3708
 03/26  01:00:00,5538
 03/27  01:00:00,4788
 03/28  01:00:00,6770
 03/29  01:00:00,7236
 03/30  01:00:00,13482
 03/31  01:00:00,8680
 04/01  01:00:00,10032
 04/02  01:00:00,10552
 04/03  01:00:00,10626
 04/04  01:00:00,12078
 04/05  01:00:00,15526
 04/06  01:00:00,20410
 04/07  01:00:00,21130
 04/08  01:00:00,16233
 04/09  01:00:00,15402
 04/10  01:00:00,20736
 04/11  01:00:00,24220
 04/12  01:00:00,14640
 04/13  01:00:00,19760
 04/14  01:00:00,17017
 04/15  01:00:00,16800
 04/16  01:00:00,16471
 04/17  01:00:00,15442
 04/18  01:00:00,15652
 04/19  01:00:00,22170
 04/20  01:00:00,21210
 04/21  01:00:00,20034
 04/22  01:00:00,21480
 04/23  01:00:00,14665
 04/24  01:00:00,14378
 04/25  01:00:00,18162
 04/26  01:00:00,15704
 04/27  01:00:00,14049
 04/28  01:00:00,13811
 04/29  01:00:00,17199
 04/30  01:00:00,16758
 05/01  01:00:00,14832
 05/02  01:00:00,12845
 05/03  01:00:00,12698
 05/04  01:00:00,16281
 05/05  01:00:00,10476
 05/06  01:00:00,13368
 05/07  01:00:00,11179
 05/08  01:00:00,12248
 05/09  01:00:00,8982
 05/10  01:00:00,12816
 05/11  01:00:00,10556
 05/12  01:00:00,10255
 05/13  01:00:00,14370
 05/14  01:00:00,13600
 05/15  01:00:00,8196
 05/16  01:00:00,12570
 05/17  01:00:00,12400
 05/18  01:00:00,11187
 05/19  01:00:00,10935
 05/20  01:00:00,10287
 05/21  01:00:00,8536
 05/22  01:00:00,10330
 05/23  01:00:00,8811
 05/24  01:00:00,8838
 05/25  01:00:00,8112
 05/26  01:00:00,9117
 05/27  01:00:00,5790
 05/28  01:00:00,6573
 05/29  01:00:00,9030
 05/30  01:00:00,6848
 05/31  01:00:00,6960
 06/01  01:00:00,8670
 06/02  01:00:00,6848
 06/03  01:00:00,4914
 06/04  01:00:00,4602
 06/05  01:00:00,5173
 06/06  01:00:00,4907
 06/07  01:00:00,6980
 06/08  01:00:00,6372
 06/09  01:00:00,6174
 06/10  01:00:00,5823
 06/11  01:00:00,3510
 06/12  01:00:00,5652
 06/13  01:00:00,5880
 06/14  01:00:00,5184
 06/15  01:00:00,5671
 06/16  01:00:00,5002
 06/17  01:00:00,4921
 06/18  01:00:00,5427
 06/19  01:00:00,5364
 06/20  01:00:00,3220
 06/21  01:00:00,4706
 06/22  01:00:00,4063
 06/23  01:00:00,4302
 06/24  01:00:00,4631
 06/25  01:00:00,3413
 06/26  01:00:00,4509
 06/27  01:00:00,4388
 06/28  01:00:00,3409
 06/29  01:00:00,4116
 06/30  01:00:00,6039
 07/01  01:00:00,4338
 07/02  01:00:00,5274
 07/03  01:00:00,5003
 07/04  01:00:00,7345
 07/05  01:00:00,5280
 07/06  01:00:00,6193
 07/07  01:00:00,5557
 07/08  01:00:00,7572
 07/09  01:00:00,8968
 07/10  01:00:00,5666
 07/11  01:00:00,9681
 07/12  01:00:00,6943
 07/13  01:00:00,7275
 07/14  01:00:00,6402
 07/15  01:00:00,10947
 07/16  01:00:00,11422
 07/17  01:00:00,9265
 07/18  01:00:00,9391
 07/19  01:00:00,10921
 07/20  01:00:00,8827
 07/21  01:00:00,11563
 07/22  01:00:00,9159
 07/23  01:00:00,9492
 07/24  01:00:00,13758
 07/25  01:00:00,9769
 07/26  01:00:00,10212
 07/27  01:00:00,8825
 07/28  01:00:00,11861
 07/29  01:00:00,10490
 07/30  01:00:00,12020
 07/31  01:00:00,13558
 08/01  01:00:00,13736
 08/02  01:00:00,9276
 08/03  01:00:00,15302
 08/04  01:00:00,15420
 08/05  01:00:00,13985
 08/06  01:00:00,14057
 08/07  01:00:00,14128
 08/08  01:00:00,14270
