Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,2360
 03/24  01:00:00,2000
 03/25  01:00:00,2988
 03/26  01:00:00,3348
 03/27  01:00:00,7124
 03/28  01:00:00,7194
 03/29  01:00:00,7281
 03/30  01:00:00,11568
 03/31  01:00:00,9990
 04/01  01:00:00,19488
 04/02  01:00:00,8856
 04/03  01:00:00,11466
 04/04  01:00:00,12294
 04/05  01:00:00,13068
 04/06  01:00:00,24090
 04/07  01:00:00,24950
 04/08  01:00:00,24360
 04/09  01:00:00,23364
 04/10  01:00:00,27210
 04/11  01:00:00,16980
 04/12  01:00:00,25533
 04/13  01:00:00,23120
 04/14  01:00:00,19894
 04/15  01:00:00,26550
 04/16  01:00:00,16518
 04/17  01:00:00,23890
 04/18  01:00:00,21216
 04/19  01:00:00,26510
 04/20  01:00:00,26310
 04/21  01:00:00,25470
 04/22  01:00:00,19696
 04/23  01:00:00,22005
 04/24  01:00:00,14028
 04/25  01:00:00,18248
 04/26  01:00:00,22770
 04/27  01:00:00,16142
 04/28  01:00:00,15176
 04/29  01:00:00,17744
 04/30  01:00:00,21780
 05/01  01:00:00,21500
 05/02  01:00:00,13146
 05/03  01:00:00,20650
 05/04  01:00:00,16752
 05/05  01:00:00,20430
 05/06  01:00:00,13699
 05/07  01:00:00,12880
 05/08  01:00:00,16353
 05/09  01:00:00,10878
 05/10  01:00:00,15507
 05/11  01:00:00,17990
 05/12  01:00:00,13864
 05/13  01:00:00,17110
 05/14  01:00:00,11676
 05/15  01:00:00,14724
 05/16  01:00:00,12640
 05/17  01:00:00,14292
 05/18  01:00:00,9546
 05/19  01:00:00,16360
 05/20  01:00:00,11018
 05/21  01:00:00,9102
 05/22  01:00:00,10465
 05/23  01:00:00,13176
 05/24  01:00:00,14260
 05/25  01:00:00,14260
 05/26  01:00:00,8544
 05/27  01:00:00,10736
 05/28  01:00:00,12920
 05/29  01:00:00,10120
 05/30  01:00:00,10962
 05/31  01:00:00,8547
 06/01  01:00:00,9816
 06/02  01:00:00,9736
 06/03  01:00:00,10755
 06/04  01:00:00,11330
 06/05  01:00:00,11230
 06/06  01:00:00,8448
 06/07  01:00:00,7112
 06/08  01:00:00,8152
 06/09  01:00:00,9840
 06/10  01:00:00,7136
 06/11  01:00:00,7992
 06/12  01:00:00,7016
 06/13  01:00:00,7016
 06/14  01:00:00,5304
 06/15  01:00:00,4753
 06/16  01:00:00,5323
 06/17  01:00:00,5237
 06/18  01:00:00,3899
 06/19  01:00:00,6422
 06/20  01:00:00,3856
 06/21  01:00:00,4382
 06/22  01:00:00,4865
 06/23  01:00:00,3434
 06/24  01:00:00,4990
 06/25  01:00:00,4087
 06/26  01:00:00,5998
 06/27  01:00:00,4597
 06/28  01:00:00,6804
 06/29  01:00:00,6337
 06/30  01:00:00,5784
 07/01  01:00:00,5936
 07/02  01:00:00,7104
 07/03  01:00:00,6846
 07/04  01:00:00,7915
 07/05  01:00:00,5419
 07/06  01:00:00,8342
 07/07  01:00:00,9505
 07/08  01:00:00,9067
 07/09  01:00:00,8590
 07/10  01:00:00,7915
 07/11  01:00:00,8114
 07/12  01:00:00,9500
 07/13  01:00:00,9955
 07/14  01:00:00,12776
 07/15  01:00:00,11797
 07/16  01:00:00,8206
 07/17  01:00:00,9706
 07/18  01:00:00,11244
 07/19  01:00:00,14529
 07/20  01:00:00,10569
 07/21  01:00:00,12306
 07/22  01:00:00,14100
 07/23  01:00:00,11365
 07/24  01:00:00,11531
 07/25  01:00:00,10026
 07/26  01:00:00,10481
 07/27  01:00:00,14088
 07/28  01:00:00,17752
 07/29  01:00:00,17942
 07/30  01:00:00,16190
 07/31  01:00:00,16233
 08/01  01:00:00,10964
 08/02  01:00:00,18511
 08/03  01:00:00,16489
 08/04  01:00:00,18463
 08/05  01:00:00,11163
 08/06  01:00:00,18700
 08/07  01:00:00,15036
 08/08  01:00:00,17086
