Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,0
 03/24  01:00:00,0
 03/25  01:00:00,0
 03/26  01:00:00,0
 03/27  01:00:00,0
 03/28  01:00:00,0
 03/29  01:00:00,0
 03/30  01:00:00,0
 03/31  01:00:00,0
 04/01  01:00:00,0
 04/02  01:00:00,0
 04/03  01:00:00,0
 04/04  01:00:00,0
 04/05  01:00:00,0
 04/06  01:00:00,0
 04/07  01:00:00,0
 04/08  01:00:00,0
 04/09  01:00:00,0
 04/10  01:00:00,0
 04/11  01:00:00,0
 04/12  01:00:00,0
 04/13  01:00:00,0
 04/14  01:00:00,0
 04/15  01:00:00,0
 04/16  01:00:00,0
 04/17  01:00:00,0
 04/18  01:00:00,0
 04/19  01:00:00,0
 04/20  01:00:00,0
 04/21  01:00:00,0
 04/22  01:00:00,0
 04/23  01:00:00,0
 04/24  01:00:00,0
 04/25  01:00:00,0
 04/26  01:00:00,0
 04/27  01:00:00,0
 04/28  01:00:00,0
 04/29  01:00:00,0
 04/30  01:00:00,0
 05/01  01:00:00,0
 05/02  01:00:00,0
 05/03  01:00:00,0
 05/04  01:00:00,0
 05/05  01:00:00,0
 05/06  01:00:00,0
 05/07  01:00:00,0
 05/08  01:00:00,0
 05/09  01:00:00,0
 05/10  01:00:00,0
 05/11  01:00:00,0
 05/12  01:00:00,0
 05/13  01:00:00,0
 05/14  01:00:00,0
 05/15  01:00:00,0
 05/16  01:00:00,0
 05/17  01:00:00,0
 05/18  01:00:00,0
 05/19  01:00:00,0
 05/20  01:00:00,0
 05/21  01:00:00,0
 05/22  01:00:00,0
 05/23  01:00:00,0
 05/24  01:00:00,0
 05/25  01:00:00,0
 05/26  01:00:00,0
 05/27  01:00:00,0
 05/28  01:00:00,0
 05/29  01:00:00,0
 05/30  01:00:00,0
 05/31  01:00:00,0
 06/01  01:00:00,0
 06/02  01:00:00,0
 06/03  01:00:00,0
 06/04  01:00:00,0
 06/05  01:00:00,0
 06/06  01:00:00,0
 06/07  01:00:00,0
 06/08  01:00:00,0
 06/09  01:00:00,0
 06/10  01:00:00,0
 06/11  01:00:00,0
 06/12  01:00:00,0
 06/13  01:00:00,0
 06/14  01:00:00,0
 06/15  01:00:00,0
 06/16  01:00:00,0
 06/17  01:00:00,0
 06/18  01:00:00,0
 06/19  01:00:00,0
 06/20  01:00:00,0
 06/21  01:00:00,0
 06/22  01:00:00,0
 06/23  01:00:00,0
 06/24  01:00:00,0
 06/25  01:00:00,0
 06/26  01:00:00,0
 06/27  01:00:00,0
 06/28  01:00:00,0
 06/29  01:00:00,0
 06/30  01:00:00,0
 07/01  01:00:00,0
 07/02  01:00:00,0
 07/03  01:00:00,0
 07/04  01:00:00,0
 07/05  01:00:00,0
 07/06  01:00:00,0
 07/07  01:00:00,0
 07/08  01:00:00,0
 07/09  01:00:00,0
 07/10  01:00:00,0
 07/11  01:00:00,0
 07/12  01:00:00,0
 07/13  01:00:00,0
 07/14  01:00:00,0
 07/15  01:00:00,0
 07/16  01:00:00,0
 07/17  01:00:00,0
 07/18  01:00:00,0
 07/19  01:00:00,0
 07/20  01:00:00,0
 07/21  01:00:00,0
 07/22  01:00:00,0
 07/23  01:00:00,0
 07/24  01:00:00,0
 07/25  01:00:00,0
 07/26  01:00:00,0
 07/27  01:00:00,0
 07/28  01:00:00,0
 07/29  01:00:00,0
 07/30  01:00:00,0
 07/31  01:00:00,0
 08/01  01:00:00,0
 08/02  01:00:00,0
 08/03  01:00:00,0
 08/04  01:00:00,0
 08/05  01:00:00,0
 08/06  01:00:00,0
 08/07  01:00:00,0
 08/08  01:00:00,0
 08/09  01:00:00,0
 08/10  01:00:00,0
 08/11  01:00:00,0
 08/12  01:00:00,0
 08/13  01:00:00,0
 08/14  01:00:00,0
 08/15  01:00:00,0
 08/16  01:00:00,0
 08/17  01:00:00,0
 08/18  01:00:00,0
