Date/Time,Demand
 03/01  01:00:00,9001
 03/02  01:00:00,6570
 03/03  01:00:00,7294
 03/04  01:00:00,6358
 03/05  01:00:00,8101
 03/06  01:00:00,6455
 03/07  01:00:00,5841
 03/08  01:00:00,7403
 03/09  01:00:00,7904
 03/10  01:00:00,7378
 03/11  01:00:00,7333
 03/12  01:00:00,7500
 03/13  01:00:00,8349
 03/14  01:00:00,7470
 03/15  01:00:00,9968
 03/16  01:00:00,10178
 03/17  01:00:00,12154
 03/18  01:00:00,11546
 03/19  01:00:00,10877
 03/20  01:00:00,12367
 03/21  01:00:00,11247
 03/22  01:00:00,11090
 03/23  01:00:00,11374
 03/24  01:00:00,10245
 03/25  01:00:00,10995
 03/26  01:00:00,9821
 03/27  01:00:00,11957
 03/28  01:00:00,9579
 03/29  01:00:00,9529
 03/30  01:00:00,12427
 03/31  01:00:00,10535
 04/01  01:00:00,13465
 04/02  01:00:00,10391
 04/03  01:00:00,12312
 04/04  01:00:00,10514
 04/05  01:00:00,10821
 04/06  01:00:00,13386
 04/07  01:00:00,12244
 04/08  01:00:00,9505
 04/09  01:00:00,11853
 04/10  01:00:00,13037
 04/11  01:00:00,14354
 04/12  01:00:00,13128
 04/13  01:00:00,14752
 04/14  01:00:00,16894
 04/15  01:00:00,17263
 04/16  01:00:00,17434
 04/17  01:00:00,17499
 04/18  01:00:00,16816
 04/19  01:00:00,17920
 04/20  01:00:00,18703
 04/21  01:00:00,18129
 04/22  01:00:00,20245
 04/23  01:00:00,19618
 04/24  01:00:00,21721
 04/25  01:00:00,17077
 04/26  01:00:00,18842
 04/27  01:00:00,22120
 04/28  01:00:00,20389
 04/29  01:00:00,19111
 04/30  01:00:00,23378
 05/01  01:00:00,20537
 05/02  01:00:00,22176
 05/03  01:00:00,20551
 05/04  01:00:00,25247
 05/05  01:00:00,24697
 05/06  01:00:00,21366
 05/07  01:00:00,26358
 05/08  01:00:00,24677
 05/09  01:00:00,24226
 05/10  01:00:00,26545
 05/11  01:00:00,25954
 05/12  01:00:00,26461
 05/13  01:00:00,27384
 05/14  01:00:00,29826
 05/15  01:00:00,26916
 05/16  01:00:00,27444
 05/17  01:00:00,28021
 05/18  01:00:00,31264
 05/19  01:00:00,29665
 05/20  01:00:00,37524
 05/21  01:00:00,32911
 05/22  01:00:00,39249
 05/23  01:00:00,30054
 05/24  01:00:00,29163
 05/25  01:00:00,34889
 05/26  01:00:00,35239
 05/27  01:00:00,37539
 05/28  01:00:00,39357
 05/29  01:00:00,41144
 05/30  01:00:00,39253
 05/31  01:00:00,43067
 06/01  01:00:00,44565
 06/02  01:00:00,47332
 06/03  01:00:00,47482
 06/04  01:00:00,43253
 06/05  01:00:00,47494
 06/06  01:00:00,44005
 06/07  01:00:00,50626
 06/08  01:00:00,55119
 06/09  01:00:00,56057
 06/10  01:00:00,50426
 06/11  01:00:00,49695
 06/12  01:00:00,56952
 06/13  01:00:00,57320
 06/14  01:00:00,60279
 06/15  01:00:00,64097
 06/16  01:00:00,61931
 06/17  01:00:00,69600
 06/18  01:00:00,72537
 06/19  01:00:00,72439
 06/20  01:00:00,75074
 06/21  01:00:00,74297
 06/22  01:00:00,73979
 06/23  01:00:00,72503
 06/24  01:00:00,82309
 06/25  01:00:00,69168
 06/26  01:00:00,75570
 06/27  01:00:00,63460
 06/28  01:00:00,70307
 06/29  01:00:00,80166
 06/30  01:00:00,83482
 07/01  01:00:00,78821
 07/02  01:00:00,86988
 07/03  01:00:00,89887
