Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,3592
 03/24  01:00:00,6566
 03/25  01:00:00,6237
 03/26  01:00:00,8386
 03/27  01:00:00,8928
 03/28  01:00:00,8020
 03/29  01:00:00,14112
 03/30  01:00:00,15704
 03/31  01:00:00,19097
 04/01  01:00:00,10944
 04/02  01:00:00,9684
 04/03  01:00:00,13869
 04/04  01:00:00,15408
 04/05  01:00:00,18500
 04/06  01:00:00,11148
 04/07  01:00:00,20730
 04/08  01:00:00,18522
 04/09  01:00:00,11580
 04/10  01:00:00,16248
 04/11  01:00:00,14049
 04/12  01:00:00,20530
 04/13  01:00:00,16392
 04/14  01:00:00,20200
 04/15  01:00:00,19700
 04/16  01:00:00,15288
 04/17  01:00:00,11358
 04/18  01:00:00,15456
 04/19  01:00:00,13531
 04/20  01:00:00,13552
 04/21  01:00:00,17073
 04/22  01:00:00,11136
 04/23  01:00:00,10482
 04/24  01:00:00,15138
 04/25  01:00:00,15970
 04/26  01:00:00,15240
 04/27  01:00:00,14112
 04/28  01:00:00,13869
 04/29  01:00:00,8934
 04/30  01:00:00,13185
 05/01  01:00:00,9849
 05/02  01:00:00,7860
 05/03  01:00:00,13070
 05/04  01:00:00,13350
 05/05  01:00:00,7746
 05/06  01:00:00,12310
 05/07  01:00:00,11710
 05/08  01:00:00,11230
 05/09  01:00:00,6378
 05/10  01:00:00,6306
 05/11  01:00:00,10620
 05/12  01:00:00,7245
 05/13  01:00:00,7968
 05/14  01:00:00,7688
 05/15  01:00:00,6685
 05/16  01:00:00,6062
 05/17  01:00:00,8460
 05/18  01:00:00,6696
 05/19  01:00:00,5726
 05/20  01:00:00,6264
 05/21  01:00:00,7880
 05/22  01:00:00,6544
 05/23  01:00:00,6040
 05/24  01:00:00,5439
 05/25  01:00:00,5068
 05/26  01:00:00,5976
 05/27  01:00:00,7200
 05/28  01:00:00,5320
 05/29  01:00:00,4571
 05/30  01:00:00,4193
 05/31  01:00:00,5391
 06/01  01:00:00,5589
 06/02  01:00:00,6070
 06/03  01:00:00,5364
 06/04  01:00:00,3486
 06/05  01:00:00,5580
 06/06  01:00:00,3857
 06/07  01:00:00,3612
 06/08  01:00:00,3066
 06/09  01:00:00,3848
 06/10  01:00:00,2844
 06/11  01:00:00,3206
 06/12  01:00:00,3045
 06/13  01:00:00,3256
 06/14  01:00:00,2926
 06/15  01:00:00,4194
 06/16  01:00:00,4110
 06/17  01:00:00,3145
 06/18  01:00:00,2676
 06/19  01:00:00,2644
 06/20  01:00:00,2646
 06/21  01:00:00,4296
 06/22  01:00:00,3756
 06/23  01:00:00,3535
 06/24  01:00:00,3424
 06/25  01:00:00,3606
 06/26  01:00:00,4116
 06/27  01:00:00,3154
 06/28  01:00:00,3268
 06/29  01:00:00,4348
 06/30  01:00:00,4962
 07/01  01:00:00,4583
 07/02  01:00:00,4875
 07/03  01:00:00,4111
 07/04  01:00:00,4225
 07/05  01:00:00,4338
 07/06  01:00:00,6360
 07/07  01:00:00,4566
 07/08  01:00:00,4148
 07/09  01:00:00,5158
 07/10  01:00:00,5431
 07/11  01:00:00,5568
 07/12  01:00:00,6519
 07/13  01:00:00,8539
 07/14  01:00:00,7890
 07/15  01:00:00,8095
 07/16  01:00:00,6570
 07/17  01:00:00,6661
 07/18  01:00:00,9645
 07/19  01:00:00,9971
 07/20  01:00:00,8289
 07/21  01:00:00,6334
 07/22  01:00:00,10751
 07/23  01:00:00,8913
 07/24  01:00:00,6782
 07/25  01:00:00,8027
 07/26  01:00:00,8391
 07/27  01:00:00,10876
 07/28  01:00:00,8528
 07/29  01:00:00,9850
 07/30  01:00:00,11110
 07/31  01:00:00,7426
 08/01  01:00:00,7524
 08/02  01:00:00,11432
 08/03  01:00:00,12573
 08/04  01:00:00,7602
 08/05  01:00:00,8937
 08/06  01:00:00,11550
 08/07  01:00:00,10318
 08/08  01:00:00,7817
