Date/Time,Demand
 01/01  01:00:00,0
 01/02  01:00:00,0
 01/03  01:00:00,0
 01/04  01:00:00,0
 01/05  01:00:00,0
 01/06  01:00:00,0
 01/07  01:00:00,0
 01/08  01:00:00,0
 01/09  01:00:00,0
 01/10  01:00:00,0
 01/11  01:00:00,0
 01/12  01:00:00,0
 01/13  01:00:00,0
 01/14  01:00:00,0
 01/15  01:00:00,0
 01/16  01:00:00,0
 01/17  01:00:00,0
 01/18  01:00:00,0
 01/19  01:00:00,0
 01/20  01:00:00,0
 01/21  01:00:00,0
 01/22  01:00:00,0
 01/23  01:00:00,0
 01/24  01:00:00,0
 01/25  01:00:00,0
 01/26  01:00:00,0
 01/27  01:00:00,0
 01/28  01:00:00,0
 01/29  01:00:00,0
 01/30  01:00:00,0
 01/31  01:00:00,0
 02/01  01:00:00,0
 02/02  01:00:00,0
 02/03  01:00:00,0
 02/04  01:00:00,0
 02/05  01:00:00,0
 02/06  01:00:00,0
 02/07  01:00:00,0
 02/08  01:00:00,0
 02/09  01:00:00,0
 02/10  01:00:00,0
 02/11  01:00:00,0
 02/12  01:00:00,0
 02/13  01:00:00,0
 02/14  01:00:00,0
 02/15  01:00:00,0
 02/16  01:00:00,0
 02/17  01:00:00,0
 02/18  01:00:00,0
 02/19  01:00:00,0
 02/20  01:00:00,0
 02/21  01:00:00,0
 02/22  01:00:00,0
 02/23  01:00:00,0
 02/24  01:00:00,0
 02/25  01:00:00,0
 02/26  01:00:00,0
 02/27  01:00:00,0
 02/28  01:00:00,0
 03/01  01:00:00,0
 03/02  01:00:00,0
 03/03  01:00:00,0
 03/04  01:00:00,0
 03/05  01:00:00,0
 03/06  01:00:00,0
 03/07  01:00:00,0
 03/08  01:00:00,0
 03/09  01:00:00,0
 03/10  01:00:00,0
 03/11  01:00:00,0
 03/12  01:00:00,0
 03/13  01:00:00,0
 03/14  01:00:00,0
 03/15  01:00:00,0
 03/16  01:00:00,0
 03/17  01:00:00,0
 03/18  01:00:00,0
 03/19  01:00:00,0
 03/20  01:00:00,0
 03/21  01:00:00,0
 03/22  01:00:00,0
 03/23  01:00:00,1400
 03/24  01:00:00,1956
 03/25  01:00:00,1800
 03/26  01:00:00,2360
 03/27  01:00:00,4256
 03/28  01:00:00,3420
 03/29  01:00:00,3208
 03/30  01:00:00,5915
 03/31  01:00:00,4910
 04/01  01:00:00,4512
 04/02  01:00:00,4130
 04/03  01:00:00,5136
 04/04  01:00:00,4921
 04/05  01:00:00,6660
 04/06  01:00:00,6416
 04/07  01:00:00,4746
 04/08  01:00:00,6176
 04/09  01:00:00,4782
 04/10  01:00:00,5663
 04/11  01:00:00,8080
 04/12  01:00:00,8330
 04/13  01:00:00,7398
 04/14  01:00:00,8400
 04/15  01:00:00,4992
 04/16  01:00:00,6368
 04/17  01:00:00,7128
 04/18  01:00:00,6160
 04/19  01:00:00,7710
 04/20  01:00:00,5159
 04/21  01:00:00,5848
 04/22  01:00:00,5704
 04/23  01:00:00,5416
 04/24  01:00:00,5823
 04/25  01:00:00,6250
 04/26  01:00:00,4888
 04/27  01:00:00,4123
 04/28  01:00:00,3540
 04/29  01:00:00,3829
 04/30  01:00:00,3150
 05/01  01:00:00,3006
 05/02  01:00:00,3458
 05/03  01:00:00,3150
 05/04  01:00:00,3162
 05/05  01:00:00,4662
 05/06  01:00:00,3311
 05/07  01:00:00,4450
 05/08  01:00:00,2814
 05/09  01:00:00,4170
 05/10  01:00:00,4140
 05/11  01:00:00,3753
 05/12  01:00:00,2322
 05/13  01:00:00,2268
 05/14  01:00:00,2548
 05/15  01:00:00,3249
 05/16  01:00:00,2429
 05/17  01:00:00,3610
 05/18  01:00:00,2226
 05/19  01:00:00,2864
 05/20  01:00:00,3186
 05/21  01:00:00,2142
 05/22  01:00:00,3015
 05/23  01:00:00,2970
 05/24  01:00:00,2261
 05/25  01:00:00,2219
 05/26  01:00:00,2107
 05/27  01:00:00,2710
 05/28  01:00:00,2394
 05/29  01:00:00,1506
 05/30  01:00:00,2360
 05/31  01:00:00,2088
 06/01  01:00:00,1392
 06/02  01:00:00,2320
 06/03  01:00:00,1404
 06/04  01:00:00,2016
 06/05  01:00:00,1962
 06/06  01:00:00,1491
 06/07  01:00:00,1316
 06/08  01:00:00,1557
 06/09  01:00:00,1134
 06/10  01:00:00,1520
 06/11  01:00:00,1000
 06/12  01:00:00,756
 06/13  01:00:00,805
 06/14  01:00:00,1140
 06/15  01:00:00,1277
 06/16  01:00:00,1073
 06/17  01:00:00,1231
 06/18  01:00:00,1746
 06/19  01:00:00,1553
 06/20  01:00:00,1209
 06/21  01:00:00,1682
 06/22  01:00:00,980
 06/23  01:00:00,1230
 06/24  01:00:00,1043
 06/25  01:00:00,941
 06/26  01:00:00,1611
 06/27  01:00:00,1588
 06/28  01:00:00,1462
 06/29  01:00:00,1892
 06/30  01:00:00,1748
 07/01  01:00:00,1993
 07/02  01:00:00,1272
 07/03  01:00:00,2069
 07/04  01:00:00,1890
 07/05  01:00:00,2184
 07/06  01:00:00,2490
 07/07  01:00:00,2554
 07/08  01:00:00,2436
 07/09  01:00:00,2596
 07/10  01:00:00,1823
 07/11  01:00:00,2491
 07/12  01:00:00,2552
 07/13  01:00:00,3009
 07/14  01:00:00,3089
 07/15  01:00:00,3169
 07/16  01:00:00,3674
 07/17  01:00:00,2608
 07/18  01:00:00,3776
 07/19  01:00:00,3123
 07/20  01:00:00,4056
 07/21  01:00:00,2893
 07/22  01:00:00,2946
 07/23  01:00:00,3053
 07/24  01:00:00,3098
 07/25  01:00:00,4489
 07/26  01:00:00,4224
 07/27  01:00:00,4258
 07/28  01:00:00,4292
 07/29  01:00:00,3374
 07/30  01:00:00,2900
 07/31  01:00:00,3877
 08/01  01:00:00,2946
 08/02  01:00:00,4973
 08/03  01:00:00,3938
 08/04  01:00:00,2976
 08/05  01:00:00,4999
 08/06  01:00:00,5024
 08/07  01:00:00,4545
 08/08  01:00:00,4080
